First Time,SEL,N,LAeq,LMax
15/11/2023 12:18:00,80.86,64,62.79,67.90
15/11/2023 12:21:40,78.90,44,62.47,68.70
15/11/2023 12:30:00,87.36,33,72.17,79.30
15/11/2023 12:32:22,75.51,25,61.53,63.30
15/11/2023 12:41:46,78.52,54,61.20,63.40
15/11/2023 12:45:52,75.56,26,61.41,63.40
15/11/2023 12:49:16,87.91,41,71.78,79.20
15/11/2023 13:01:25,87.24,35,71.80,79.30
15/11/2023 13:05:21,88.90,33,73.72,81.80
15/11/2023 13:08:45,93.23,48,76.42,85.90
15/11/2023 13:27:18,89.67,39,73.76,81.00
15/11/2023 13:36:55,89.21,40,73.19,82.20
15/11/2023 13:39:53,89.99,50,73.00,82.50
15/11/2023 13:43:36,86.74,34,71.42,78.40
15/11/2023 13:46:12,89.95,35,74.51,83.00
15/11/2023 14:00:06,85.97,32,70.92,77.30
15/11/2023 14:03:29,88.58,34,73.26,80.60
15/11/2023 14:06:47,87.33,34,72.01,79.70
15/11/2023 14:10:06,88.39,43,72.05,80.80
15/11/2023 14:31:23,86.16,38,70.36,77.80
15/11/2023 14:33:37,88.88,33,73.70,81.60
15/11/2023 14:35:58,86.59,31,71.67,78.40
15/11/2023 14:47:15,87.13,38,71.33,79.60
15/11/2023 14:50:28,88.22,37,72.54,81.30
15/11/2023 14:52:49,86.64,34,71.33,78.80
15/11/2023 14:55:46,89.54,46,72.91,81.90
15/11/2023 15:00:34,85.96,32,70.91,77.50
15/11/2023 15:08:03,79.32,26,65.17,70.90
15/11/2023 15:17:43,88.50,34,73.19,81.10
15/11/2023 15:48:29,89.37,39,73.46,81.90
15/11/2023 15:51:04,87.24,33,72.06,79.30
15/11/2023 15:53:47,88.77,32,73.72,81.90
15/11/2023 16:01:46,89.16,34,73.84,82.00
15/11/2023 16:10:33,86.21,37,70.53,78.10
15/11/2023 16:18:04,87.92,39,72.01,81.00
15/11/2023 16:26:29,85.44,38,69.65,76.60
15/11/2023 16:28:31,89.20,38,73.41,81.90
15/11/2023 16:31:10,91.21,31,76.30,86.10
15/11/2023 16:33:32,87.07,37,71.39,79.40
15/11/2023 16:39:03,86.07,38,70.27,78.00
15/11/2023 16:41:25,85.14,29,70.52,76.80
15/11/2023 16:56:44,87.47,36,71.91,80.10
15/11/2023 17:11:21,89.59,42,73.36,82.80
15/11/2023 17:12:34,75.16,25,61.19,62.70
15/11/2023 17:13:21,75.49,28,61.02,63.30
15/11/2023 17:14:54,91.15,52,73.99,83.20
15/11/2023 17:17:53,91.28,53,74.04,83.90
15/11/2023 17:21:07,80.14,24,66.33,73.30
15/11/2023 17:27:29,89.29,40,73.27,81.50
15/11/2023 17:30:22,88.72,55,71.31,81.70
15/11/2023 17:32:08,92.47,76,73.67,85.10
15/11/2023 17:35:47,87.96,39,72.05,80.70
15/11/2023 17:37:55,86.55,39,70.64,78.60
15/11/2023 17:39:53,86.34,34,71.02,79.10
15/11/2023 17:41:46,88.34,35,72.90,81.10
15/11/2023 17:43:58,88.39,36,72.83,80.40
15/11/2023 17:45:54,89.13,42,72.90,81.00
